FEATURE                                                  DSL VERSION  FEATURE SUPPORT  VERSION SUPPORT  SINCE
gaggle.spec.additionalRepos                              2.0          ga               supported        dev
gaggle.spec.additionalRepos.baseUrl                      2.0          ga               supported        dev
gaggle.spec.additionalRepos.checkout.sparse              2.0          ga               supported        dev
gaggle.spec.additionalRepos.provider.ado                 2.0          ga               supported        dev
gaggle.spec.additionalRepos.provider.gitea               2.0          ga               supported        dev
gaggle.spec.additionalRepos.provider.github              2.0          ga               supported        dev
gaggle.spec.backlog                                      2.0          ga               supported        dev
gaggle.spec.backlog.baseUrl                              2.0          ga               supported        dev
gaggle.spec.backlog.fieldPredicate                       2.0          ga               supported        dev
gaggle.spec.backlog.labelPredicate                       2.0          ga               supported        dev
gaggle.spec.backlog.labels                               2.0          ga               supported        dev
gaggle.spec.backlog.provider.ado                         2.0          ga               supported        dev
gaggle.spec.backlog.provider.gitea                       2.0          ga               supported        dev
gaggle.spec.backlog.provider.github                      2.0          ga               supported        dev
gaggle.spec.branchNamespace                              2.0          ga               supported        dev
gaggle.spec.ciCommand                                    2.0          ga               supported        dev
gaggle.spec.displayName                                  2.0          ga               supported        dev
gaggle.spec.isolation.identityRef                        2.0          ga               supported        dev
gaggle.spec.isolation.namespace                          2.0          ga               supported        dev
gaggle.spec.outboxMirrorPath                             2.0          ga               supported        dev
gaggle.spec.project                                      2.0          ga               supported        dev
gaggle.spec.project.baseUrl                              2.0          ga               supported        dev
gaggle.spec.project.checkout.sparse                      2.0          ga               supported        dev
gaggle.spec.project.provider.ado                         2.0          ga               supported        dev
gaggle.spec.project.provider.gitea                       2.0          ga               supported        dev
gaggle.spec.project.provider.github                      2.0          ga               supported        dev
gaggle.spec.requireLabels                                2.0          ga               supported        dev
gaggle.spec.requiredCapabilities                         2.0          ga               supported        dev
gaggle.spec.runControls                                  2.0          ga               supported        dev
gaggle.spec.runControls.maxRepasses                      2.0          ga               supported        dev
gaggle.spec.runControls.maxRunDuration                   2.0          ga               supported        dev
gaggle.spec.runControls.stalledRunTimeout                2.0          ga               supported        dev
gaggle.spec.sandbox                                      2.0          preview          supported        dev
gaggle.spec.selfIdentity                                 2.0          ga               supported        dev
gaggle.spec.siblings                                     2.0          ga               supported        dev
gaggle.spec.workcopies.root                              2.0          ga               supported        dev
gate.branch.escalate                                     2.0          ga               supported        dev
gate.branches                                            2.0          ga               supported        dev
gate.evaluator.agentic                                   2.0          ga               supported        dev
gate.evaluator.agentic.goober                            2.0          ga               supported        dev
gate.evaluator.agentic.retry                             2.0          ga               supported        dev
gate.evaluator.agentic.retry.backoff                     2.0          ga               supported        dev
gate.evaluator.agentic.retry.maxAttempts                 2.0          ga               supported        dev
gate.evaluator.agentic.timeoutSeconds                    2.0          ga               supported        dev
gate.evaluator.agentic.workspace                         2.0          ga               supported        dev
gate.evaluator.automated                                 2.0          ga               supported        dev
gate.evaluator.automated.check                           2.0          ga               supported        dev
gate.evaluator.automated.check.ci-status                 2.0          ga               supported        dev
gate.evaluator.automated.check.failure-class             2.0          ga               supported        dev
gate.evaluator.automated.check.land-outcome              2.0          ga               supported        dev
gate.evaluator.automated.check.output-equals             2.0          ga               supported        dev
gate.evaluator.automated.check.output-matches            2.0          ga               supported        dev
gate.evaluator.automated.check.output-not-equals         2.0          ga               supported        dev
gate.evaluator.automated.check.output-numeric-gte        2.0          ga               supported        dev
gate.evaluator.automated.check.output-numeric-lt         2.0          ga               supported        dev
gate.evaluator.automated.check.output-numeric-lte        2.0          ga               supported        dev
gate.evaluator.automated.check.queue-outcome             2.0          ga               supported        dev
gate.evaluator.automated.check.status-equals             2.0          ga               supported        dev
gate.evaluator.automated.params                          2.0          ga               supported        dev
gate.evaluator.automated.pollIntervalSeconds             2.0          ga               supported        dev
gate.evaluator.automated.retry                           2.0          ga               supported        dev
gate.evaluator.automated.retry.backoff                   2.0          ga               supported        dev
gate.evaluator.automated.retry.maxAttempts               2.0          ga               supported        dev
gate.evaluator.automated.timeoutSeconds                  2.0          ga               supported        dev
gate.evaluator.human                                     2.0          ga               supported        dev
gate.evaluator.human.approvers                           2.0          ga               supported        dev
gate.evaluator.human.onTimeout.escalate                  2.0          ga               supported        dev
gate.evaluator.human.onTimeout.reject                    2.0          ga               supported        dev
gate.evaluator.human.onTimeout.remind                    2.0          ga               supported        dev
gate.evaluator.human.timeout                             2.0          ga               supported        dev
gate.maxRepasses                                         2.0          ga               supported        dev
gate.name                                                2.0          ga               supported        dev
goober.spec.capabilities                                 2.0          ga               supported        dev
goober.spec.conditionalPolicyActions                     2.0          ga               supported        dev
goober.spec.displayName                                  2.0          ga               supported        dev
goober.spec.gaggle                                       2.0          ga               supported        dev
goober.spec.harness.claude-code                          2.0          ga               supported        dev
goober.spec.harness.copilot                              2.0          ga               supported        dev
goober.spec.harnessOptions                               2.0          ga               supported        dev
goober.spec.instructions                                 2.0          ga               supported        dev
goober.spec.mcpServers                                   2.0          ga               supported        dev
goober.spec.model                                        2.0          ga               supported        dev
goober.spec.policyActions                                2.0          ga               supported        dev
goober.spec.role                                         2.0          ga               supported        dev
goober.spec.scaleFactor                                  2.0          ga               supported        dev
goober.spec.skills                                       2.0          ga               supported        dev
goober.spec.timeoutSeconds                               2.0          ga               supported        dev
goober.spec.tools                                        2.0          ga               supported        dev
goober.spec.workflows                                    2.0          ga               supported        dev
stage.ci-poll                                            2.0          ga               supported        dev
stage.external-telemetry                                 2.0          ga               supported        dev
stage.resultFile                                         2.0          ga               supported        dev
stage.run.command                                        2.0          ga               supported        dev
stage.run.env                                            2.0          ga               supported        dev
stage.run.network.none                                   2.0          ga               supported        dev
stage.run.script                                         2.0          ga               supported        dev
stage.run.syncBase                                       2.0          ga               supported        dev
stage.run.workspace.repo                                 2.0          ga               supported        dev
stage.run.workspace.scratch                              2.0          ga               supported        dev
stage.shell                                              2.0          ga               supported        dev
stage.workspace                                          2.0          ga               supported        dev
stage.workspace.repo-readonly                            2.0          ga               supported        dev
task.agentic                                             2.0          ga               supported        dev
task.capabilities                                        2.0          ga               supported        dev
task.contextFrom                                         2.0          ga               supported        dev
task.continueOnError                                     2.0          ga               supported        dev
task.deterministic                                       2.0          ga               supported        dev
task.expectedOutputs                                     2.0          ga               supported        dev
task.experiment                                          2.0          ga               supported        dev
task.goal                                                2.0          ga               supported        dev
task.goober                                              2.0          ga               supported        dev
task.inputs                                              2.0          ga               supported        dev
task.inputs.fieldOrder                                   2.0          ga               supported        dev
task.inputsFrom                                          2.0          ga               supported        dev
task.inputsFrom.stageQualified                           2.0          ga               supported        v0.2.0
task.limits                                              2.0          ga               supported        dev
task.limits.maxCostUSD                                   2.0          ga               supported        dev
task.limits.maxDurationSeconds                           2.0          ga               supported        dev
task.limits.maxTokens                                    2.0          ga               supported        dev
task.minimumIntegrity                                    2.0          ga               supported        dev
task.name                                                2.0          ga               supported        dev
task.nestedAgentPolicy                                   2.0          ga               supported        dev
task.next                                                2.0          ga               supported        dev
task.onTimeout.fail                                      2.0          ga               supported        dev
task.onTimeout.salvage                                   2.0          ga               supported        dev
task.outbox                                              2.0          ga               supported        dev
task.outboxMirrorPath                                    2.0          ga               supported        dev
task.policyActions                                       2.0          ga               supported        dev
task.requiredCapabilities                                2.0          ga               supported        dev
task.retry                                               2.0          ga               supported        dev
task.retry.backoff                                       2.0          ga               supported        dev
