FEATURE                                            DSL VERSION  FEATURE SUPPORT  VERSION SUPPORT  SINCE
gaggle.spec.project.checkout.sparse                1.4          ga               deprecated       dev
gaggle.spec.sandbox                                1.4          preview          deprecated       dev
gate.branch.escalate                               1.4          ga               deprecated       dev
gate.branches                                      1.4          ga               deprecated       dev
gate.evaluator.agentic                             1.4          ga               deprecated       dev
gate.evaluator.agentic.goober                      1.4          ga               deprecated       dev
gate.evaluator.agentic.retry                       1.4          ga               deprecated       dev
gate.evaluator.agentic.retry.backoff               1.4          ga               deprecated       dev
gate.evaluator.agentic.retry.maxAttempts           1.4          ga               deprecated       dev
gate.evaluator.agentic.timeoutSeconds              1.4          ga               deprecated       dev
gate.evaluator.automated                           1.4          ga               deprecated       dev
gate.evaluator.automated.check                     1.4          ga               deprecated       dev
gate.evaluator.automated.check.ci-status           1.4          ga               deprecated       dev
gate.evaluator.automated.check.failure-class       1.4          ga               deprecated       dev
gate.evaluator.automated.check.land-outcome        1.4          ga               deprecated       dev
gate.evaluator.automated.check.output-equals       1.4          ga               deprecated       dev
gate.evaluator.automated.check.output-matches      1.4          ga               deprecated       dev
gate.evaluator.automated.check.output-not-equals   1.4          ga               deprecated       dev
gate.evaluator.automated.check.output-numeric-gte  1.4          ga               deprecated       dev
gate.evaluator.automated.check.output-numeric-lt   1.4          ga               deprecated       dev
gate.evaluator.automated.check.output-numeric-lte  1.4          ga               deprecated       dev
gate.evaluator.automated.check.queue-outcome       1.4          ga               deprecated       dev
gate.evaluator.automated.check.status-equals       1.4          ga               deprecated       dev
gate.evaluator.automated.params                    1.4          ga               deprecated       dev
gate.evaluator.automated.pollIntervalSeconds       1.4          ga               deprecated       dev
gate.evaluator.automated.retry                     1.4          ga               deprecated       dev
gate.evaluator.automated.retry.backoff             1.4          ga               deprecated       dev
gate.evaluator.automated.retry.maxAttempts         1.4          ga               deprecated       dev
gate.evaluator.automated.timeoutSeconds            1.4          ga               deprecated       dev
gate.evaluator.human                               1.4          ga               deprecated       dev
gate.evaluator.human.approvers                     1.4          ga               deprecated       dev
gate.evaluator.human.onTimeout.escalate            1.4          ga               deprecated       dev
gate.evaluator.human.onTimeout.reject              1.4          ga               deprecated       dev
gate.evaluator.human.onTimeout.remind              1.4          ga               deprecated       dev
gate.evaluator.human.timeout                       1.4          ga               deprecated       dev
gate.name                                          1.4          ga               deprecated       dev
goober.spec.capabilities                           1.4          ga               deprecated       dev
goober.spec.displayName                            1.4          ga               deprecated       dev
goober.spec.gaggle                                 1.4          ga               deprecated       dev
goober.spec.harness.claude-code                    1.4          ga               deprecated       dev
goober.spec.harness.copilot                        1.4          ga               deprecated       dev
goober.spec.harnessOptions                         1.4          ga               deprecated       dev
goober.spec.instructions                           1.4          ga               deprecated       dev
goober.spec.mcpServers                             1.4          ga               deprecated       dev
goober.spec.model                                  1.4          ga               deprecated       dev
goober.spec.role                                   1.4          ga               deprecated       dev
goober.spec.scaleFactor                            1.4          ga               deprecated       dev
goober.spec.skills                                 1.4          ga               deprecated       dev
goober.spec.timeoutSeconds                         1.4          ga               deprecated       dev
goober.spec.tools                                  1.4          ga               deprecated       dev
goober.spec.workflows                              1.4          ga               deprecated       dev
stage.ci-poll                                      1.4          ga               deprecated       dev
stage.external-telemetry                           1.4          ga               deprecated       dev
stage.resultFile                                   1.4          ga               deprecated       dev
stage.run.command                                  1.4          ga               deprecated       dev
stage.run.env                                      1.4          ga               deprecated       dev
stage.run.network.none                             1.4          ga               deprecated       dev
stage.run.syncBase                                 1.4          ga               deprecated       dev
stage.run.workspace.repo                           1.4          ga               deprecated       dev
stage.run.workspace.scratch                        1.4          ga               deprecated       dev
stage.shell                                        1.4          ga               deprecated       dev
task.agentic                                       1.4          ga               deprecated       dev
task.capabilities                                  1.4          ga               deprecated       dev
task.contextFrom                                   1.4          ga               deprecated       dev
task.continueOnError                               1.4          ga               deprecated       dev
task.deterministic                                 1.4          ga               deprecated       dev
task.expectedOutputs                               1.4          ga               deprecated       dev
task.goal                                          1.4          ga               deprecated       dev
task.goober                                        1.4          ga               deprecated       dev
task.inputs                                        1.4          ga               deprecated       dev
task.inputs.fieldOrder                             1.4          ga               deprecated       dev
task.inputsFrom                                    1.4          ga               deprecated       dev
task.limits                                        1.4          ga               deprecated       dev
task.limits.maxCostUSD                             1.4          ga               deprecated       dev
task.limits.maxDurationSeconds                     1.4          ga               deprecated       dev
task.limits.maxTokens                              1.4          ga               deprecated       dev
task.minimumIntegrity                              1.4          ga               deprecated       dev
task.name                                          1.4          ga               deprecated       dev
task.nestedAgentPolicy                             1.4          ga               deprecated       dev
task.next                                          1.4          ga               deprecated       dev
task.onTimeout.fail                                1.4          ga               deprecated       dev
task.onTimeout.salvage                             1.4          ga               deprecated       dev
task.policyActions                                 1.4          ga               deprecated       dev
task.retry                                         1.4          ga               deprecated       dev
task.retry.backoff                                 1.4          ga               deprecated       dev
task.retry.maxAttempts                             1.4          ga               deprecated       dev
task.timeoutSeconds                                1.4          ga               deprecated       dev
trigger.backlog-item                               1.4          ga               deprecated       dev
trigger.backlog-item.selector                      1.4          ga               deprecated       dev
trigger.backlog-item.trustLabel                    1.4          ga               deprecated       dev
trigger.fieldPredicate                             1.4          ga               deprecated       dev
trigger.labelPredicate                             1.4          ga               deprecated       dev
trigger.manual                                     1.4          ga               deprecated       dev
trigger.schedule                                   1.4          ga               deprecated       dev
trigger.signal                                     1.4          ga               deprecated       dev
trigger.webhook                                    1.4          ga               deprecated       dev
workflow.spec.displayName                          1.4          ga               deprecated       dev
workflow.spec.gaggle                               1.4          ga               deprecated       dev
workflow.spec.gates                                1.4          ga               deprecated       dev
workflow.spec.readiness                            1.4          ga               deprecated       dev
workflow.spec.readiness.maxChainDepth              1.4          ga               deprecated       dev
workflow.spec.readiness.maxConcurrentRuns          1.4          ga               deprecated       dev
workflow.spec.readiness.maxOpenPRs                 1.4          ga               deprecated       dev
workflow.spec.readiness.maxRunsPerDay              1.4          ga               deprecated       dev
workflow.spec.readiness.maxRunsPerHour             1.4          ga               deprecated       dev
